127.0.0.1 - - [31/Oct/2018:16:57:15 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:16 -0300] "GET /kitnetsrecife/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:26 -0300] "GET /kitnetsrecife/about.html HTTP/1.1" 200 10678
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:26 -0300] "GET /kitnetsrecife/images/person_2.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:26 -0300] "GET /kitnetsrecife/images/person_1.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:26 -0300] "GET /kitnetsrecife/images/person_3.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:27 -0300] "GET /kitnetsrecife/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:30 -0300] "GET /kitnetsrecife/contact.html HTTP/1.1" 200 9399
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:57:30 -0300] "GET /kitnetsrecife/images/img_4.jpg HTTP/1.1" 200 56557
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:31 -0300] "GET /kitnetsrecife/images/person_1.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:31 -0300] "GET /kitnetsrecife/images/person_3.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:31 -0300] "GET /kitnetsrecife/images/person_2.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/rooms.html HTTP/1.1" 200 10945
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_1.jpg HTTP/1.1" 200 69241
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_2.jpg HTTP/1.1" 200 83364
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_3.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_7.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_8.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_9.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_10.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_11.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_12.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_13.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [31/Oct/2018:16:58:51 -0300] "GET /kitnetsrecife/images/img_14.jpg HTTP/1.1" 404 1113
