0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/js/main.js HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:08 -0300] "GET /kitnetsrecife/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:06:09 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/rooms.html HTTP/1.1" 200 10945
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_1.jpg HTTP/1.1" 200 69241
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_2.jpg HTTP/1.1" 200 83364
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_3.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_4.jpg HTTP/1.1" 200 56557
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_5.jpg HTTP/1.1" 200 88988
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_6.jpg HTTP/1.1" 200 55629
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_7.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_8.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_9.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:00 -0300] "GET /kitnetsrecife/images/img_10.jpg HTTP/1.1" 404 1113
